transcription	board_title_pattern_match	board_title_pattern_item	board_title_pattern_result	year	page	range_definition	function_pattern_match	function_pattern_item	function_pattern_result	name_list_match	name_list_item	name_list_result	name_pattern_match	name_pattern_item	name_pattern_result	name_best_match	name_best_match_type	name_best_match_strategy	additional_information_list_match	additional_information_list_item	additional_information_list_result
ADVISORY COMMITTEES	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	ADVISORY COMMITTEES	1922	18	board_member															
Finance Commillee.	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Finance Commillee.	1922	18	board_member															
Mr. E. W. BRISCOE (Chairman)				1922	18	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	(Chairman)	True	E. W. BRISCO	E. W. BRISCO	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	Mr. E. W. BRISCOE	Mr. E. W. BRISCOE	pattern	longest_match			
M. GALLAND				1922	18	board_member				True	M. GALLAND	M. GALLAND	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	M. GALLAND	M. GALLAND	list	longest_match			
F. E. CROWE				1922	18	board_member				True	F. E. CROWE	F. E. CROWE	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	F. E. CROWE	F. E. CROWE	list	longest_match			
T. E. HARLEY				1922	18	board_member				True	T. E. HARLEY	T. E. HARLEY	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	T. E. HARLEY	T. E. HARLEY	list	longest_match			
Propaganda Commillee.	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Propaganda Commillee.	1922	18	board_member															
T. E. HARLEY (Chairman) Mr.				1922	18	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	(Chairman)	True	T. E. HARLEY	T. E. HARLEY	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	T. E. HARLEY	T. E. HARLEY	list	longest_match			
M. GALLAND				1922	18	board_member				True	M. GALLAND	M. GALLAND	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	M. GALLAND	M. GALLAND	list	longest_match			
A. HANMER				1922	18	board_member				True	A. HANMER	A. HANMER	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	A. HANMER	A. HANMER	list	longest_match			
J. E. MULHOLLAND				1922	18	board_member				True	J. E. MULHOLLAND	J. E. MULHOLLAND	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	J. E. MULHOLLAND	J. E. MULHOLLAND	list	longest_match			
W. STAUFFACHER				1922	18	board_member				True	W. STAUFFACHER	W. STAUFFACHER	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	W. STAUFFACHE	W. STAUFFACHER	list	longest_match			
A. RICHARDSON (Secretary)				1922	18	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	(Secretary)	True	A. RICHARDSON	A. RICHARDSON	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	A. RICHARDSON	A. RICHARDSON	list	longest_match			
Rhine Navigation Commillee.	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Rhine Navigation Commillee.	1922	18	board_member															
Mr. R. HERBERT (Chairman)				1922	18	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	(Chairman)	True	R. HERBERT	R. HERBERT	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	Mr. R. HERBERT	Mr. R. HERBERT	pattern	longest_match			
W. STAUFFACHER				1922	18	board_member				True	W. STAUFFACHER	W. STAUFFACHER	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	W. STAUFFACHE	W. STAUFFACHER	list	longest_match			
A. HANMER				1922	18	board_member				True	A. HANMER	A. HANMER	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	A. HANMER	A. HANMER	list	longest_match			
T. E. HARLEY				1922	18	board_member				True	T. E. HARLEY	T. E. HARLEY	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	T. E. HARLEY	T. E. HARLEY	list	longest_match			
A. WEBER				1922	18	board_member				True	A. WEBER	A. WEBER	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	A. WEBER	A. WEBER	list	longest_match			
Committee jor French Switzerland.	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Committee jor French Switzerland.	1922	18	board_member															
Mr. M. GALLAND (Chairman)				1922	18	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	(Chairman)	True	Mr. M. GALLAND	Mr. M. GALLAND	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	Mr. M. GALLAND	Mr. M. GALLAND	list	longest_match			
D. BARNETT				1922	18	board_member				True	D. BARNETT	D. BARNETT	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	D. BARNETT	D. BARNETT	list	longest_match			
L. H. BONNAIRE				1922	18	board_member				True	L. H. BONNAIRE	L. H. BONNAIRE	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	L. H. BONNAIRE	L. H. BONNAIRE	list	longest_match			
G. RAHM				1922	18	board_member				True	G. RAHM	G. RAHM	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	G. RAHM	G. RAHM	list	longest_match			
J. E. MULHOLLAND				1922	18	board_member				True	J. E. MULHOLLAND	J. E. MULHOLLAND	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	J. E. MULHOLLAND	J. E. MULHOLLAND	list	longest_match			
Watch Industries Commillee.	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Watch Industries Commillee.	1922	18	board_member															
Mr. L. H. BONNAIRE (Chairman)				1922	18	board_member	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	(Chairman)	True	Mr. L. H. BONNAIRE	Mr. L. H. BONNAIRE	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	Mr. L. H. BONNAIRE	Mr. L. H. BONNAIRE	list	longest_match			
